,0,1,2,3,4,5
199,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-weizmanninstituteofscience,is","seoulnationaluniversity,kr-weizmanninstituteofscience,is	weizmanninstituteofscience,is-jeonbuknationaluniversity,kr",,,,
200,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-koreauniversity,kr","universityofcalifornia,us-koreauniversity,kr	koreauniversity,kr-universityofseoul,kr","koreauniversity,kr-universityofseoul,kr	universityofseoul,kr-jejunationaluniversity,kr",,,
201,"universityofhouston,us-universityofhouston,us	universityofhouston,us-arkansasstateuniversity,us",,,,,
202,"kyungheeuniversity,kr-koreauniversity,kr	koreauniversity,kr-johnshopkinsuniversity,us","koreauniversity,kr-johnshopkinsuniversity,us	johnshopkinsuniversity,us-koreauniversity,kr","johnshopkinsuniversity,us-koreauniversity,kr	koreauniversity,kr-jejunationaluniversity,kr",,,
203,"koreaadvancedinstituteofscienceandtechnology,kr-koreauniversity,kr	koreauniversity,kr-massachusettsinstituteoftechnology,us","koreauniversity,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-gachonuniversity,kr","massachusettsinstituteoftechnology,us-gachonuniversity,kr	gachonuniversity,kr-koreauniversity,kr","gachonuniversity,kr-koreauniversity,kr	koreauniversity,kr-jejunationaluniversity,kr",,
204,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-maxplanckinstitute,de","pohanguniversityofscienceandtechnology,kr-maxplanckinstitute,de	maxplanckinstitute,de-incheonnationaluniversity,kr",,,,
205,"koreaadvancedinstituteofscienceandtechnology,kr-universityofcalifornia,us	universityofcalifornia,us-incheonnationaluniversity,kr",,,,,
206,"seoulnationaluniversity,kr-nationalinstituteofstandardsandtechnology,us	nationalinstituteofstandardsandtechnology,us-incheonnationaluniversity,kr",,,,,
207,"seoulnationaluniversity,kr-electronicsandtelecommunicationsresearchinstitute,kr	electronicsandtelecommunicationsresearchinstitute,kr-koreabasicscienceinstitute,kr","electronicsandtelecommunicationsresearchinstitute,kr-koreabasicscienceinstitute,kr	koreabasicscienceinstitute,kr-ulsannationalinstituteofscienceandtechnology,kr","koreabasicscienceinstitute,kr-ulsannationalinstituteofscienceandtechnology,kr	ulsannationalinstituteofscienceandtechnology,kr-incheonnationaluniversity,kr",,,
208,"yonseiuniversity,kr-yonseiuniversity,kr	yonseiuniversity,kr-universityofcoloradoboulder,us","yonseiuniversity,kr-universityofcoloradoboulder,us	universityofcoloradoboulder,us-incheonnationaluniversity,kr",,,,
209,"ulsannationalinstituteofscienceandtechnology,kr-ulsannationalinstituteofscienceandtechnology,kr	ulsannationalinstituteofscienceandtechnology,kr-californiastateuniversity,us","ulsannationalinstituteofscienceandtechnology,kr-californiastateuniversity,us	californiastateuniversity,us-incheonnationaluniversity,kr",,,,
210,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-maxplanckinstitute,de","seoulnationaluniversity,kr-maxplanckinstitute,de	maxplanckinstitute,de-incheonnationaluniversity,kr",,,,
